table_id,reference_number,author_name,year
12,1,Wise,1993
12,3,Hood,1977
12,4,Quinious,1995
12,5,Ruusunen,2007
12,7,Wiseman,2007
12,9,Kaensombath,2013
12,11,Pond,1989
12,12,Chen,1999
12,14,Cliplef,1993
12,15,Critser,1995
12,16,Pond,1988
12,20,Anugwa,1989
12,24,Chiba,1994
12,22,Boleman,1995
12,2,Stahly,1979
12,6,Shelton,2004
12,8,Johnson,2015
12,10,Miller,1987
12,13,Chen,1999
12,17,Yen,1991
12,18,Phuc,1993
12,19,Moughan,1990
12,21,Rehfeldt,2008
12,23,Owen,2001
12,25,Tischendorf,2002
12,26,Schone,1996
