animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
14,36,92.5,4,5521,26,"1,2,3-26"
14,27,0.005,0.001,79,2,"1, 2"
14,2,17.42,2.66,124,4,"3,4,5,6"
14,3,3.45,0.54,176,3,"5, 7, 8"
14,4,14.31,1.19,88,2,"4, 5"
14,6,,,,,
14,38,0.58,0.08,1811,11,"7, 9-18 "
14,12,3.01,0.3,72,1,7
14,13,1.26,0.23,300,10,"9-13, 15-19"
14,14,1.35,0.32,132,6,"9-13, 18 "
14,15,0.14,0.02,39,2,"16, 17"
14,16,0.94,0.1,3,1,16
14,17,0.35,0.05,2101,16,"5, 7, 9, 12-24"
14,18,0.37,0.1,2812,17,"1, 2, 5, 6, 9, 11-17, 19, 20, 22-24"
14,19,2.01,0.25,4421,21,"1, 2, 5-9, 11-20, 22-26"
14,20,0.77,0.14,275,7,"7, 9, 15, 17, 18, 22, 24"
14,21,42.63,3.29,24,2,"11, 20"
14,22,0.12,0.03,112,4,"12, 13, 17, 18"
14,23,0.21,0.06,3488,10,"8, 9, 12-15, 17, 20, 22, 25"
14,39,6.82,0.82,88,2,"4, 5"
14,26,7.95,,,,
