animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,parameter_id,reference_string
11,5,1.5,0.4,35,3,3,"1,2,3"
11,24,0.13,0.08,9,1,3,4
11,43,0.06,0.04,43,4,3,"2,3,4,5"
11,22,1.4,0.5,9,1,3,4
11,21,34.2,30.6,45,4,3,"2,3,5,6"
11,39,3.5,1.6,34,3,3,"2,3,5"
11,17,3,0.6,9,1,3,1
11,18,11.4,3.2,56,5,3,"1-4,7"
11,41,4.4,2.9,55,5,3,"1-4,6"
11,42,19.9,4.6,32,3,3,"8,9,10"
11,23,3.1,1.2,52,5,3,"1,2,3,4,5"
11,38,2.1,1.1,34,4,3,"1,35"
11,13,15.3,7.7,52,5,3,"1,2,3,4,5"
11,14,5.1,1.1,18,2,3,"1,4"
