animal_id,organ_id,mean,standard_deviation,sample_size,t_test
4,27,0.008,0.003,346,2.4E-90*
4,3,4.33,0.88,346,0.00544*
4,5,0.09,0.01,346,1E-107*
4,6,,,,
4,8,0.33,0.08,346,1E-118*
4,9,2.08,0.42,346,3E-117*
4,10,1.18,0.3,346,3E-192*
4,11,0.5,0.11,346,1E-106*
4,12,,,,
4,13,1.37,0.32,346,2E-112*
4,14,1.01,0.25,346,1E-129*
4,17,0.38,0.06,346,0.19742
4,18,0.22,0.05,346,1.9E-17*
4,19,1.35,0.28,346,0.0555
4,20,0.69,0.16,346,0.60003
4,22,0.09,0.02,346,1.4E-07*
4,23,0.18,0.04,346,1.7E-18*
4,24,0.008,0.003,346,2.6E-97*
4,25,0.04,0.02,346,1.7E-32*
4,29,,,,
4,30,1.67,0.74,13,0.65921
4,31,3.14,0.5,7,0.83425
5,3,4.52,0.92,350,0.00544*
5,5,0.07,0.01,350,1E-107*
5,6,,,,
5,8,0.19,0.05,350,1E-118*
5,9,1.02,0.21,350,3E-117*
5,10,0.66,0.16,350,3E-192*
5,11,0.29,0.08,350,1E-106*
5,12,,,,
5,13,0.82,0.2,350,2E-112*
5,14,0.55,0.14,350,1E-129*
5,17,0.37,0.07,350,0.19742
5,18,0.25,0.05,375,1.9E-17*
5,19,1.31,0.27,375,0.0555
5,20,0.7,0.14,350,0.60003
5,22,0.08,0.02,350,1.4E-07*
5,23,0.16,0.04,350,1.7E-18*
5,24,0.004,0.002,350,2.6E-97*
5,25,0.02,0.01,350,1.7E-32*
5,29,,,,
5,30,1.77,0.38,10,0.65921
5,31,3.2,0.79,15,0.83425
