table_id,author_name,reference_number,year,volume
38,Becker,1,1981,
38,Boostani,2,2010,
38,Sadeghi,3,2012,
38,Kalavathy,4,2003,
38,Leeson,5,1980,
38,Park,6,2014,
38,Deaton,7,1969,
38,May,8,1971,
38,Rzasa,9,1974,
38,Heckert,10,2002,
38,Awad,11,2009,
38,Ghahri,12,2013,
38,Toghyani,13,2010,
38,Baarendse,14,2006,
38,Lee,15,2003,
38,Rath,16,2006,
38,Khosravinia,17,2016,
38,Bowes,18,1988,
38,Moraes,19,2002,
38,Yersin,20,1992,
38,Wideman Jr,21,1999,
38,Adeyemi,22,2008,
38,Buys,23,1999,
38,Deeb,24,2002,
38,Gaya,25,2006,
38,Pastuszewska,26,2001,
38,Tickle,27,2014,
38,Glahn,28,1990,
38,Dyubele,29,2010,
38,O'Hea,30,1969,
38,Cabuk,31,2006,
38,Jozefiak,32,2006,
38,Khosravinia,33,2016,
38,Wideman Jr,34,1996,
38,Wideman Jr,35,1999,
