animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string,mean_male,mean_female
23,2,,,10,1,1,13.4,15.1
23,48,2.14,0.68,863,5,"2,3,4,5,6",,
23,49,0.014,0.0022,140,1,7,,
23,3,7.02,1.14,17,2,"8,9",,
23,50,0.19,0.05,489,9,"3,6,10-16",,
23,51,0.09,,8,1,17,,
23,17,0.54,0.12,7459,16,"2-3,5,11,14,16,18-27",,
23,18,0.66,0.02,41,3,"22,26,28",,
23,19,2.14,0.49,8650,21,"3,5,6,11-12,14-16,19-20,22-27,29-33",,
23,20,0.72,0.1,248,6,"18,22-23,27,34-35",,
23,52,18.1,,18,1,6,,
23,22,0.29,0.21,501,7,"3,11-12,15,22,31,33",,
23,23,0.11,0.04,552,12,"3,6,10,11-16,22,24",,
23,25,0.5,0.09,10,1,11,,
23,37,3.5,0.68,660,1,5,,
23,53,0.5,,13,1,22,,
23,54,0.36,0.31,479,5,"3,11-12,22,31",,
23,55,1.25,0.52,6629,10,"3,6,11-12,15,19,22,25,29,31",,
23,12,3.5,0.82,6339,5,"15,18,25,27,29",,
23,13,3.13,1.83,472,5,"3,11,12,15,31",,
23,56,1.2,0.05,130,3,"3,15,17",,
23,57,1.92,0.16,114,2,"3,15",,
23,58,1.37,0.17,114,2,"3,15",,
23,14,1.42,0.1,6,1,15,,
23,59,0.5,0.1,183,5,"3,11-12,22,32",,
23,16,0.18,0.03,10,1,11,,
23,26,,,,,,35.3,33.6
