animal_id,parameter_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,range,reference_string
23,3,49,0.187,0.91,23,2,11.7-24.1,"1,2"
23,3,17,10.2,,10,1,,1
23,3,6,,,,,,
23,3,54,2.58,0.82,21,2,2.20-3.20,"4,5"
23,3,55,1.24,0.18,31,3,1.40-1.70,"1,4,5"
23,3,56,4.45,0.48,21,2,4.01-4.69,"4,5"
23,3,58,4.64,,13,1,,5
23,3,57,2.09,,13,1,,5
23,3,16,1.21,,8,1,,4
23,3,18,18,7.29,50,5,8.16-25.1,"1,3-5"
23,3,19,30.1,26.4,44,8,11.7-73.0,"1,3-5,7-10"
23,3,20,53.2,4.53,15,1,51.6-54.7,6
23,3,22,3.44,2.94,30,3,1.48-6.98,"3,4,5"
23,3,23,1.46,1.42,18,2,0.61-2.53,"1,3"
