animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,range,reference_string,mean_male,mean_female
25,49,0.019,0.0045,1793,2,0.007-0.021,"8, 17",,
25,50,0.14,0.045,222,14,0.050-0.200,"3, 4, 7, 12, 14, 19, 20, 21, 22, 24, 28, 31, 33, 41",,
25,17,0.51,0.075,2184,19,0.324-0.740,"1, 3, 7, 10, 13, 17-19, 20- 22, 27, 30, 35-36, 41-43",,
25,18,0.95,0.12,1042,8,0.265-1.097,"17, 24, 25, 27, 30, 31, 39, 42",,
25,19,2.62,0.358,2801,28,0.830-4.270,"3, 4, 6, 7, 10, 13, 15-17, 19-21, 23-27, 29-32, 35, 37, 39, 40-43",,
25,20,0.83,0.122,939,3,0.267-0.890,"17, 30, 35",,
25,22,0.3,0.078,1672,12,0.075-0.420,"17, 24-27, 30, 31, 34, 35, 39, 41, 42",,
25,23,0.073,0.023,1793,19,0.042-0.290,"3, 4, 7, 9, 12, 14-17, 19-22, 27, 28, 30, 31, 35, 42",,
25,25,0.26,0.015,56,3,0.142-0.299,"5, 12, 28",,
25,37,,,,,,,,
25,53,0.34,0.071,298,2,0.310-0.430,"6, 41",,
25,54,0.43,0.059,208,6,0.113-0.740,"5, 16, 24, 31, 35, 41",,
25,55,2.15,0.253,388,13,0.863-3.420,"5, 13, 16, 23-27, 30, 35, 37, 41, 42",,
25,13,4.85,0.431,144,5,2.050-7.152,"11, 13, 15, 30, 34",,
25,56,1.68,0.156,130,4,0.690-2.010,"2, 11, 12, 41",,
25,57,2.55,0.499,142,5,1.350-3.120,"2, 7, 11, 12, 41",,
25,58,2.13,0.215,70,3,1.070-2.278,"11, 12, 41",,
25,28,0.025,0.073,501,4,0.007-0.361,"17, 23, 33, 44",,
25,65,0.18,0.046,112,2,0.160-0.250,"32, 38",,
25,66,0.27,0.304,596,4,0.008-1.540,"17, 32, 37, 38",,
25,67,1.03,0.217,299,5,0.031-1.390,"6, 29, 32, 37, 38",,
25,26,,,,,,,80.1,78.7
