animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string,parameter_id
27,1,0.006,0.002,13,2,"1, 2",1
27,2,20.98,2.68,14,2,"3, 4",1
27,3,5.06,0.64,64,5,"5,6,7-9",1
27,4,5.31,0.53,44,2,"4, 10",1
27,5,0.21,0.02,6,1,1,1
27,6,4.45,0.54,23,3,"5, 8, 11",1
27,38,2.17,0.42,10,1,12,1
27,9,1.27,0.18,14,1,11,1
27,8,0.28,0.04,14,1,11,1
27,10,0.26,0.05,14,1,11,1
27,11,0.43,0.14,22,2,"8, 11",1
27,13,1.28,0.22,32,3,"8, 11, 12",1
27,14,0.92,0.14,32,3,"8, 11, 12",1
27,17,0.38,0.07,46,5,"1, 6, 8-10",1
27,18,0.23,0.03,47,6,"1, 5, 6, 8, 11, 12",1
27,19,1.27,0.24,54,8,"1, 2, 5, 6-8, 11, 12",1
27,20,1.07,0.24,46,5,"1, 6, 8, 11, 12",1
27,22,0.1,0.02,7,2,"1, 5",1
27,44,0.0018,0.0004,13,2,"1, 2",1
27,23,0.28,0.1,23,4,"1, 5, 6, 8",1
27,24,0.008,0,6,1,1,1
27,69,3.52,1.05,7,1,2,1
27,70,0.57,0.22,5,1,13,1
27,26,56.55,,,,,1
