table_id,reference_number,author_name,year,volume
9,1,Kerr,2003,
9,2,Wise,1993,
9,3,Stahly,1979,
9,4,Doornenbal,1986,
9,5,Hood,1977,
9,6,Quinious,1995,
9,7,O'Hea,1969,
9,8,Ruusunen,2007,
9,9,Shelton,2004,
9,10,Hansard,1956,
9,11,Wiseman,2007,
9,12,Johnson,2015,
9,13,Mitchell,2001,
9,14,Tranquilli,1982,
9,15,Phuc,1993,
9,16,Agyekum,2012,
9,17,Kaensombath,2013,
9,18,Miller,1987,
9,19,Pond,1989,
9,20,Velayudhan,2017,
9,21,Chen,1999,
9,22,Chen,1995,
9,23,Cliplef,1993,
9,24,Critser,1995,
9,25,Kaensombath,2012,
9,26,Pond,1988,
9,27,Koong,1982,
9,28,Koong,1983,
9,29,Yen,1991,
9,30,Adeola,2006,
9,31,Moughan,1990,
9,32,Cera,1988,
9,33,Jin,1994,
9,34,Anugwa,1989,
9,35,Lee,2018,
9,36,Rehfeldt,2008,
9,37,Smit,2017,
9,38,Chiba,1994,
9,39,Boleman,1995,
9,40,Owen,2001,
9,41,Wang,2011,
9,42,Brudevold,1994,
9,43,Weaver,2013,
9,44,Lundeen,1983,
9,45,Tischendorf,2002,
9,46,Schone,1996,
9,47,Owsley,1986,
