animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
12,27,0.005,0.001,55,2,"1,2"
12,2,14.93,2.61,122,4,"3,4,5,6"
12,3,3.85,0.25,104,3,"1, 6, 7"
12,4,8.6,0.76,86,2,"4, 6"
12,6,,,,,
12,38,0.66,0.11,324,10,"6,7,8,9,10,11,12,13,14,15"
12,12,3.74,0.4,60,1,7
12,13,1.68,0.28,273,10,"1,8,9,10,11,12,13,14,15,16"
12,14,1.57,0.4,183,7,"1, 8,9,10, 12, 14, 15"
12,15,0.15,0.02,27,2,"1, 13"
12,17,0.34,0.05,377,14,"1, 6,7,8, 10,11,12,13,14,15,16,17,18,19"
12,18,0.38,0.1,1566,16,"1, 2, 6, 8,9,10,11,12,13,14,15,16,17,18,19,20"
12,19,1.76,0.23,246,19,"1, 2 , 5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21 "
12,20,0.8,0.17,200,6,"7, 8, 11, 12, 18, 19"
12,21,38.46,2.7,79,3,"4, 9, 17"
12,22,0.15,0.13,297,7,"1, 6, 10, 14, 15, 21, 22"
12,23,0.2,0.05,765,11,"1,6,8,10,11,12,14,15,17,18,20"
12,24,0.008,0.001,24,1,1
12,25,0.28,0.03,8,1,1
12,39,4.47,0.82,86,2,"4, 6"
12,26,21.38,,,,
