table_id,reference_number,author_name,year,volume
2,1,Matthews,1975,
2,2,Buntyn,2017,
2,3,Garrett,1968,
2,4,DiCostanzo,1991,
2,5,Velazco,1997,
2,6,Andrew,1994,
2,7,Robelin,1981,
2,8,De Paula,2013,
2,9,Fernandez,1996,
2,10,Fonseca,2017,
2,11,Sainz,1995,
2,12,Keane,2011,
2,13,Hansard,1953,
2,15,Larsen,2017,
2,16,Rumsey,1996,
2,17,Long,2010,
2,18,Rotta,2015,
2,19,McCurdy,2010,
2,20,Hansard,1956,
2,21,Swett,1933,
2,22,Faulkner,1989,
2,23,Sharman,2013,
2,25,Sprinkle,1998,
2,26,Schumann,2007,
2,24,Remling,2017,
2,27,Mader,2009,
2,28,Fitzsimons,2014,
2,29,Jenkins,1997,
2,30,Wood,2013,
2,31,Scheaffer,2001,
2,14,Terry,1990,
2,32,Early,1990,
2,33,Schlegel,2006,
2,34,Olivares,2019,
2,35,McEvoy,1998,
2,36,Fiems,1993,
2,37,Long,2012,
2,38,Talton,2014,
2,39,Murphy,1994,
2,40,Bourg,2012,
2,41,Sainz,1997,
2,42,Burciaga-Robles,2010,
2,43,Moseley,1992,
2,44,Lawler,2004,
2,45,Robertson,1967,
2,46,Shahin,1985,a
2,47,Weisgold,1979,
2,48,Unruh,1986,
2,49,Killian,1972,
