table_id,author_name,reference_number,year,volume
1,Matthews,1,1975,
1,Buntyn,2,2017,
1,Garrett,3,1968,
1,DiCostanzo,4,1991,
1,Velazco,5,1997,
1,Andrew,6,1994,
1,Robelin,7,1981,
1,De Paula,8,2013,
1,Fernandez,9,1996,
1,Sainz,10,1995,
1,Keane,11,2011,
1,Hansard,12,1953,
1,Larsen,13,2017,
1,Rumsey,14,1996,
1,Long,15,2010,
1,Rotta,16,2015,
1,McCurdy,17,2010,
1,Hansard,18,1956,
1,Swett,19,1933,
1,Faulkner,20,1989,
1,Ballarin,21,2016,
1,Sharman,22,2013,
1,Sprinkle,23,1998,
1,Schumann,24,2007,
1,Reynolds,25,2004,
1,Remling,26,2017,
1,Mader,27,2009,
1,Fitzsimons,28,2014,
1,Jenkins,29,1997,
1,Wood,30,2013,
1,Scheaffer,31,2001,
1,Terry,32,1990,
1,Early,33,1990,
1,Schlegel,34,2006,
1,Olivares,35,2019,
1,McEvoy,36,1998,
1,Fiems,37,1993,
1,Long,38,2012,
1,Talton,39,2014,
1,Murphy,40,1994,
1,Bourg,41,2012,
1,Sainz,42,1997,
1,Burciaga-Robles,43,2010,
1,Moseley,44,1992,
1,Lawler,45,2004,
1,Robertson,46,1967,
1,Shahin,47,1985,a
1,Fonseca,48,2017,
