animal_id,organ_id,mean,standard_deviation,sample_size,number_of_studies,reference_string
3,27,0.006,0.002,696,1,1
3,2,13.21,6.64,25,1,2
3,3,4.35,0.9,788,3,"1,4,5"
3,5,0.08,0.01,696,1,1
3,6,8.2,2.28,25,1,2
3,7,1.68,0.25,124,1,5
3,8,0.26,0.07,696,1,1
3,9,1.55,0.33,696,1,1
3,10,0.89,0.23,820,3,"1,3,5"
3,11,0.38,0.09,820,3,"1,3,5"
3,12,,,,,
3,13,1.09,0.25,840,4,"1,3,5,6"
3,14,0.77,0.2,840,4,"1,3,5,6"
3,15,0.08,0.01,36,1,3
3,17,0.37,0.06,804,3,"1,5,6"
3,18,0.22,0.05,865,5,"1-3,5,6"
3,19,1.25,0.25,865,5,"1-3,5,6"
3,20,0.68,0.15,784,2,"1,5"
3,22,0.08,0.02,696,1,1
3,23,0.17,0.04,820,3,"1,3,5"
3,24,0.006,0.002,696,1,1
3,25,0.03,0.02,696,1,1
3,30,1.68,0.81,55,3,"7,8,9"
3,31,3.18,0.71,22,1,7
3,32,2.29,0.54,7,1,7
3,33,1.09,0.24,40,1,10
3,34,0.003,0.001,187,3,"11,12,13"
3,35,0.0008,0.0003,187,3,"11,12,13"
3,26,67.06,,,,
3,29,,,,,
